RecordID,RecordSubID_old,RecordSubID_new,Treatment,Treatment_Severity,TimeSinceFire,Study_Severity,Authors,Title,DOI,StudyType,VegCover,Region,Lat,Lon,LiveC_Binary_Measurements,DeadC_Binary_Measurements,TreeAge_Binary_Measurements,Photosynthesis_Binary_Measurements,Sapflow_Binary_Measurements,NPP_Binary_Measurements,GPP_Binary_Measurements,NEP_Binary_Measurements,Ra_Binary_Measurements,NSC_Binary_Measurements,FoliarN_Binary_Measurements,WoodN_Binary_Measurements,PyCChar_Binary_Measurements,Emissions_Binary_Measurements,Regeneration_Binary_Measurements,BAI_treecores_Binary_Measurements,Isotopes_Binary_Measurements,MRT_Binary_Measurements,LiveC_units_StockData,PyC_units_StockData,DeadC_units_StockData,LitterC_units_StockData,TEC_units_StockData,ANPP_units_FluxData,GPP_units_FluxData,Ra_units_FluxData,NPP_units_FluxData,NEP_units_FluxData,Reco_units_FluxData,Photosynthesis_units_FluxData,EmissionsUnits_Emissions,Description_StockData,DescriptionNote_StockData,LiveWoodC_StockData,FoliageC_StockData,TotalLive_StockData,PyC_StockData,CWDC_StockData,FWDC_StockData,LitterC_StockData,TotalDead_StockData,TotalAboveground_StockData,TEC_StockData,ANPP_FluxData,GPP_FluxData,Ra_FluxData,NPP_FluxData,NEP_FluxData,Reco_FluxData,Photosynthesis_num_FluxData,LiveC_Emissions,DeadC_Emissions,ForestFloor_Emissions,LeafLitter_Emissions,TotalAbovegroundC_Emissions,Vcmax_text_Burned1_FluxData,Photosynthesis_text_Burned1_FluxData,BAI_text_Burned1_FluxData,UniqueID,LiveWoodC_StockData_MgC_ha,FoliageC_StockData_MgC_ha,TotalLive_StockData_MgC_ha,TotalAboveground_StockData_MgC_ha,PyC_StockData_MgC_ha,CWDC_StockData_MgC_ha,FWDC_StockData_MgC_ha,TotalDead_StockData_MgC_ha,LitterC_StockData_MgC_ha,TEC_StockData_MgC_ha,LiveWoodC_StockData_percent,FoliageC_StockData_percent,TotalLive_StockData_percent,TotalAboveground_StockData_percent,LitterC_StockData_percent,Biome,Biome_simple,ANPP_FluxData_g_m2,ANPP_FluxData_g_m2_unit,GPP_FluxData_g_m2,GPP_FluxData_g_m2_unit,NPP_FluxData_g_m2,NPP_FluxData_g_m2_unit,NEP_FluxData_g_m2,NEP_FluxData_g_m2_unit,Reco_FluxData_g_m2,Reco_FluxData_g_m2_unit,Photosynthesis_FluxData_g_m2,Photosynthesis_FluxData_g_m2_unit
1557,2,18,Burn,HighFrequency,5,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989351,1,1,Seedling,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,HighFrequency,,,,,,,,,,,,,,,,-6,,,,,,,,,,,1557_18,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,-72.06,yr,,,,
1557,4,20,Burn,HighFrequency,20,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989351,1,1,Young,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,HighFrequency,,,,,,,,,,,,,,,,-2,,,,,,,,,,,1557_20,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,-24.02,yr,,,,
1557,6,22,Burn,HighFrequency,70,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989351,1,1,Mature,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,HighFrequency,,,,,,,,,,,,,,,,2,,,,,,,,,,,1557_22,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,24.02,yr,,,,
1557,8,24,Burn,HighFrequency,200,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989351,1,1,Old,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,HighFrequency,,,,,,,,,,,,,,,,1,,,,,,,,,,,1557_24,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,12.01,yr,,,,
1558,1,1,Control,Control_ref,53,Mixed,"Wirth, C; Schulze, ED; Luhker, B; Grigoriev, S; Siry, M; Hardes, G; Ziegler, W; Backor, M; Bauer, G; Vygodskaya, NN","Comparing the influence of site quality, stand age, fire and climate on aboveground tree production in Siberian Scots pine forests",10.1093/treephys/22.8.539,Wildfire,Pinus sylvestris-vaccinium,Siberia,61.560837,89.989352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,gC_per_m2_per_yr,,,,,,,,Control_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,1558_1,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,yr,,,,,,,,,,
1558,2,2,Control,Control_ref,95,Mixed,"Wirth, C; Schulze, ED; Luhker, B; Grigoriev, S; Siry, M; Hardes, G; Ziegler, W; Backor, M; Bauer, G; Vygodskaya, NN","Comparing the influence of site quality, stand age, fire and climate on aboveground tree production in Siberian Scots pine forests",10.1093/treephys/22.8.540,Wildfire,Pinus sylvestris-vaccinium,Siberia,61.560837,89.989352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,gC_per_m2_per_yr,,,,,,,,Control_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,1558_2,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,yr,,,,,,,,,,
1558,3,3,Control,Control_ref,67,Mixed,"Wirth, C; Schulze, ED; Luhker, B; Grigoriev, S; Siry, M; Hardes, G; Ziegler, W; Backor, M; Bauer, G; Vygodskaya, NN","Comparing the influence of site quality, stand age, fire and climate on aboveground tree production in Siberian Scots pine forests",10.1093/treephys/22.8.541,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,gC_per_m2_per_yr,,,,,,,,Control_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,1558_3,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,yr,,,,,,,,,,
1558,4,4,Control,Control_ref,138,Mixed,"Wirth, C; Schulze, ED; Luhker, B; Grigoriev, S; Siry, M; Hardes, G; Ziegler, W; Backor, M; Bauer, G; Vygodskaya, NN","Comparing the influence of site quality, stand age, fire and climate on aboveground tree production in Siberian Scots pine forests",10.1093/treephys/22.8.542,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,gC_per_m2_per_yr,,,,,,,,Control_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,1558_4,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,yr,,,,,,,,,,
1558,5,5,Control,Control_ref,200,Mixed,"Wirth, C; Schulze, ED; Luhker, B; Grigoriev, S; Siry, M; Hardes, G; Ziegler, W; Backor, M; Bauer, G; Vygodskaya, NN","Comparing the influence of site quality, stand age, fire and climate on aboveground tree production in Siberian Scots pine forests",10.1093/treephys/22.8.543,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,gC_per_m2_per_yr,,,,,,,,Control_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,1558_5,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,yr,,,,,,,,,,
1558,6,6,Control,Control_ref,14,Mixed,"Wirth, C; Schulze, ED; Luhker, B; Grigoriev, S; Siry, M; Hardes, G; Ziegler, W; Backor, M; Bauer, G; Vygodskaya, NN","Comparing the influence of site quality, stand age, fire and climate on aboveground tree production in Siberian Scots pine forests",10.1093/treephys/22.8.544,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,gC_per_m2_per_yr,,,,,,,,Control_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,1558_6,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,yr,,,,,,,,,,
