RecordID,RecordSubID_old,RecordSubID_new,Treatment,Treatment_Severity,TimeSinceFire_years,Study_Severity,Authors,Title,DOI,StudyType,VegCover,GFEDVegCover,Region,Lat,Lon,LiveC_Binary_Measurements,DeadC_Binary_Measurements,TreeAge_Binary_Measurements,Photosynthesis_Binary_Measurements,Sapflow_Binary_Measurements,NPP_Binary_Measurements,GPP_Binary_Measurements,NEP_Binary_Measurements,Ra_Binary_Measurements,NSC_Binary_Measurements,FoliarN_Binary_Measurements,WoodN_Binary_Measurements,PyCChar_Binary_Measurements,Emissions_Binary_Measurements,Regeneration_Binary_Measurements,BAI_treecores_Binary_Measurements,Isotopes_Binary_Measurements,MRT_Binary_Measurements,LiveC_units_StockData,PyC_units_StockData,DeadC_units_StockData,LitterC_units_StockData,TEC_units_StockData,ANPP_units_FluxData,GPP_units_FluxData,Ra_units_FluxData,NPP_units_FluxData,NEP_units_FluxData,Reco_units_FluxData,Photosynthesis_units_FluxData,EmissionsUnits_Emissions,Description_StockData,DescriptionNote_StockData,LiveWoodC_StockData,FoliageC_StockData,TotalLive_StockData,PyC_StockData,CWDC_StockData,FWDC_StockData,LitterC_StockData,TotalDead_StockData,TotalAboveground_StockData,TEC_StockData,ANPP_FluxData,GPP_FluxData,Ra_FluxData,NPP_FluxData,NEP_FluxData,Reco_FluxData,Photosynthesis_num_FluxData,LiveC_Emissions,DeadC_Emissions,ForestFloor_Emissions,LeafLitter_Emissions,TotalAbovegroundC_Emissions,Vcmax_text_Burned1_FluxData,Photosynthesis_text_Burned1_FluxData,BAI_text_Burned1_FluxData,UniqueID,LiveWoodC_StockData_MgC_ha,FoliageC_StockData_MgC_ha,TotalLive_StockData_MgC_ha,TotalAboveground_StockData_MgC_ha,PyC_StockData_MgC_ha,CWDC_StockData_MgC_ha,FWDC_StockData_MgC_ha,TotalDead_StockData_MgC_ha,LitterC_StockData_MgC_ha,TEC_StockData_MgC_ha,LiveWoodC_StockData_percent,FoliageC_StockData_percent,TotalLive_StockData_percent,TotalAboveground_StockData_percent,LitterC_StockData_percent,Biome,Biome_simple,ANPP_FluxData_g_m2,ANPP_FluxData_g_m2_unit,GPP_FluxData_g_m2,GPP_FluxData_g_m2_unit,NPP_FluxData_g_m2,NPP_FluxData_g_m2_unit,NEP_FluxData_g_m2,NEP_FluxData_g_m2_unit,Reco_FluxData_g_m2,Reco_FluxData_g_m2_unit,Photosynthesis_FluxData_g_m2,Photosynthesis_FluxData_g_m2_unit
23,1,3,Burn,ModSeverity,0.1,Mixed,"Alexou, Maria; Dimitrakopoulos, Alexandros P.",Early physiological consequences of fire as an abiotic stressor in metabolic source and sink of young Brutian pine (Pinus brutia Ten.),10.1093/treephys/tpu098,RxFire,Pinus brutia,TEMF,Greece,NA,NA,0,0,Young (10-16 years),0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ModSeverity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,1,Control,Control_ref,5.2,Mixed,"Aponte, Cristina; Tolhurst, Kevin G.; Bennett, Lauren T.",Repeated prescribed fires decrease stocks and change attributes of coarse woody debris in a temperate eucalypt forest,10.1890/13-1426.1,RxFire,eucalypt forest,TEMF,Australia,-37.27,144.17,0,1,All,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,MgC_per_hectare,MgC_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control_ref,Control (reference site),NA,NA,NA,0.02,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53_1,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2,2,Control,Control_ref,5.5,Mixed,"Aponte, Cristina; Tolhurst, Kevin G.; Bennett, Lauren T.",Repeated prescribed fires decrease stocks and change attributes of coarse woody debris in a temperate eucalypt forest,10.1890/13-1426.1,RxFire,eucalypt forest,TEMF,Australia,-37.27,144.17,0,1,All,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,MgC_per_hectare,MgC_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control_ref,Control (reference site),NA,NA,NA,0.02,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53_2,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,3,Burn,LowSeverity,5.2,Mixed,"Aponte, Cristina; Tolhurst, Kevin G.; Bennett, Lauren T.",Repeated prescribed fires decrease stocks and change attributes of coarse woody debris in a temperate eucalypt forest,10.1890/13-1426.1,RxFire,eucalypt forest,TEMF,Australia,-37.27,144.17,0,1,All,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,MgC_per_hectare,MgC_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LowSeverity,NA,NA,NA,NA,0.22,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53_3,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2,4,Burn,LowSeverity,5.5,Mixed,"Aponte, Cristina; Tolhurst, Kevin G.; Bennett, Lauren T.",Repeated prescribed fires decrease stocks and change attributes of coarse woody debris in a temperate eucalypt forest,10.1890/13-1426.1,RxFire,eucalypt forest,TEMF,Australia,-37.27,144.17,0,1,All,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,MgC_per_hectare,MgC_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LowSeverity,NA,NA,NA,NA,0.26,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53_4,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,5,Burn,HighSeverity,5.2,Mixed,"Aponte, Cristina; Tolhurst, Kevin G.; Bennett, Lauren T.",Repeated prescribed fires decrease stocks and change attributes of coarse woody debris in a temperate eucalypt forest,10.1890/13-1426.1,RxFire,eucalypt forest,TEMF,Australia,-37.27,144.17,0,1,All,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,MgC_per_hectare,MgC_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HighSeverity,NA,NA,NA,NA,0.33,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53_5,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2,6,Burn,HighSeverity,5.5,Mixed,"Aponte, Cristina; Tolhurst, Kevin G.; Bennett, Lauren T.",Repeated prescribed fires decrease stocks and change attributes of coarse woody debris in a temperate eucalypt forest,10.1890/13-1426.1,RxFire,eucalypt forest,TEMF,Australia,-37.27,144.17,0,1,All,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,MgC_per_hectare,MgC_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HighSeverity,NA,NA,NA,NA,0.33,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53_6,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,1,Control,Unburned,1,High,"Aranibar, JN; Macko, SA; Anderson, IC; Potgieter, ALF; Sowry, R; Shugart, HH",(PDF) Nutrient cycling responses to fire frequency in the Kruger National Park (South Africa) as indicated by Stable Isotope analysis (researchgate.net),10.1080/1025601031000096736,RxFire,savanna,SAVA,Africa,-23.988,31.554,0,0,All,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unburned,Unburned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TropicalGrassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,2,Burn,HighFrequency,1,High,"Aranibar, JN; Macko, SA; Anderson, IC; Potgieter, ALF; Sowry, R; Shugart, HH",(PDF) Nutrient cycling responses to fire frequency in the Kruger National Park (South Africa) as indicated by Stable Isotope analysis (researchgate.net),10.1080/1025601031000096736,RxFire,savanna,SAVA,Africa,-23.988,31.554,0,0,All,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HighFrequency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TropicalGrassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1,1,Control,Reconstructed,0.25,High,"Astiani, D.; Curran, L. M.; Burhanuddin; Taherzadeh, M.; Mujiman; Hatta, M.; Pamungkas, W.; Gusmayanti, Evi",(PDF) FIRE-DRIVEN BIOMASS AND PEAT CARBON LOSSES AND POST-FIRE SOIL CO2 EMISSION IN A WEST KALIMANTAN PEATLAND FOREST (researchgate.net),10.26525/jtfs2018.30.4.570575,Wildfire,tropical peatland forest,PEAT,Indonesia,-0.2167,109.43,1,1,All,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MgC_per_hectare,Reconstructed,Reconstructed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.4,1.05,6.59,NA,NA,NA,NA,NA,66_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,TropicalForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1,2,Burn,Burned,0.25,High,"Astiani, D.; Curran, L. M.; Burhanuddin; Taherzadeh, M.; Mujiman; Hatta, M.; Pamungkas, W.; Gusmayanti, Evi",(PDF) FIRE-DRIVEN BIOMASS AND PEAT CARBON LOSSES AND POST-FIRE SOIL CO2 EMISSION IN A WEST KALIMANTAN PEATLAND FOREST (researchgate.net),10.26525/jtfs2018.30.4.570575,Wildfire,tropical peatland forest,PEAT,Indonesia,-0.2167,109.43,1,1,All,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MgC_per_hectare,Burned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.4,1.05,6.59,NA,NA,NA,NA,NA,66_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,TropicalForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1,3,Burn,LowFrequency,0.25,High,"Astiani, D.; Curran, L. M.; Burhanuddin; Taherzadeh, M.; Mujiman; Hatta, M.; Pamungkas, W.; Gusmayanti, Evi",(PDF) FIRE-DRIVEN BIOMASS AND PEAT CARBON LOSSES AND POST-FIRE SOIL CO2 EMISSION IN A WEST KALIMANTAN PEATLAND FOREST (researchgate.net),10.26525/jtfs2018.30.4.570575,Wildfire,tropical peatland forest,PEAT,Indonesia,-0.2167,109.43,1,1,All,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MgC_per_hectare,LowFrequency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,TropicalForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,1,1,Control,Unburned,1,Low,"Barlow, J; Peres, CA; Lagan, BO; Haugaasen, T",Large tree mortality and the decline of forest biomass following Amazonian wildfires,10.1046/j.1461-0248.2003.00394.x,RxFire,Mezilaurus itauba,TROP,Brazil,-2.44,-55.41,1,0,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unburned,Unburned,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95_1,141.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,TropicalForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,2,2,Control,Unburned,3,Low,"Barlow, J; Peres, CA; Lagan, BO; Haugaasen, T",Large tree mortality and the decline of forest biomass following Amazonian wildfires,10.1046/j.1461-0248.2003.00394.x,RxFire,Mezilaurus itauba,TROP,Brazil,-2.44,-55.41,1,0,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unburned,Unburned,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95_2,90.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,TropicalForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,1,3,Burn,LowSeverity,1,Low,"Barlow, J; Peres, CA; Lagan, BO; Haugaasen, T",Large tree mortality and the decline of forest biomass following Amazonian wildfires,10.1046/j.1461-0248.2003.00394.x,RxFire,Mezilaurus itauba,TROP,Brazil,-2.44,-55.41,1,0,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LowSeverity,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95_3,182.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,TropicalForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,2,4,Burn,LowSeverity,3,Low,"Barlow, J; Peres, CA; Lagan, BO; Haugaasen, T",Large tree mortality and the decline of forest biomass following Amazonian wildfires,10.1046/j.1461-0248.2003.00394.x,RxFire,Mezilaurus itauba,TROP,Brazil,-2.44,-55.41,1,0,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mg_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LowSeverity,NA,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95_4,182.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,TropicalForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
